,id,recency,frequency,monetary,r_quartile,f_quartile,m_quartile,rfmscore,tier
15,2114,23,19,1315,4,4,4,444,stars
51,4114,2,19,1693,4,4,4,444,stars
67,9369,19,21,1274,4,4,4,444,stars
135,1685,21,17,1482,4,4,4,444,stars
155,10240,10,16,1381,4,4,4,444,stars
161,9260,20,19,1706,4,4,4,444,stars
163,10095,9,15,1293,4,4,4,444,stars
209,380,17,20,1804,4,4,4,444,stars
252,10089,5,19,1112,4,4,4,444,stars
336,7381,10,17,1442,4,4,4,444,stars
338,9560,18,15,1674,4,4,4,444,stars
412,7030,1,23,1485,4,4,4,444,stars
519,3711,19,16,1902,4,4,4,444,stars
676,4673,17,15,1241,4,4,4,444,stars
740,5682,8,17,1099,4,4,4,444,stars
749,4073,0,17,1215,4,4,4,444,stars
753,3667,20,19,1757,4,4,4,444,stars
762,6406,13,16,1427,4,4,4,444,stars
767,1911,6,23,1364,4,4,4,444,stars
797,796,17,19,1071,4,4,4,444,stars
803,9930,8,19,1167,4,4,4,444,stars
859,1031,5,16,1062,4,4,4,444,stars
878,1446,12,18,1226,4,4,4,444,stars
912,9760,24,20,1198,4,4,4,444,stars
1047,4002,3,19,1123,4,4,4,444,stars
1153,5031,14,16,1833,4,4,4,444,stars
1197,6606,11,15,1161,4,4,4,444,stars
1199,7342,6,18,1072,4,4,4,444,stars
1212,2324,12,18,1065,4,4,4,444,stars
1308,5758,23,23,1189,4,4,4,444,stars
1320,1650,13,17,1643,4,4,4,444,stars
1325,9212,17,19,1678,4,4,4,444,stars
1458,10133,16,18,2349,4,4,4,444,stars
1498,9463,16,16,1443,4,4,4,444,stars
1521,8643,21,16,1662,4,4,4,444,stars
1539,8920,4,23,1128,4,4,4,444,stars
1570,4261,23,19,1315,4,4,4,444,stars
1598,7022,2,15,1410,4,4,4,444,stars
1612,9242,19,15,1722,4,4,4,444,stars
1672,3690,20,17,2091,4,4,4,444,stars
1743,10814,6,19,1376,4,4,4,444,stars
1836,7849,12,15,1052,4,4,4,444,stars
1914,7101,24,20,1198,4,4,4,444,stars
1953,7919,2,18,2092,4,4,4,444,stars
2049,2079,0,15,1208,4,4,4,444,stars
2128,1631,3,15,1282,4,4,4,444,stars
2145,9790,12,15,1334,4,4,4,444,stars
8,4855,19,5,46,4,1,1,411,rookies
42,8430,4,3,22,4,1,1,411,rookies
44,2139,19,5,31,4,1,1,411,rookies
66,1386,0,3,11,4,1,1,411,rookies
78,10401,12,3,18,4,1,1,411,rookies
81,2261,5,3,16,4,1,1,411,rookies
160,2795,0,3,13,4,1,1,411,rookies
183,10796,16,4,66,4,1,1,411,rookies
189,6431,13,5,68,4,1,1,411,rookies
195,7224,24,3,31,4,1,1,411,rookies
205,624,5,2,35,4,1,1,411,rookies
216,7264,2,3,17,4,1,1,411,rookies
259,3153,24,3,17,4,1,1,411,rookies
269,4557,11,4,67,4,1,1,411,rookies
284,8962,18,5,37,4,1,1,411,rookies
290,9262,11,4,52,4,1,1,411,rookies
294,10451,6,3,25,4,1,1,411,rookies
296,2874,20,4,32,4,1,1,411,rookies
322,8275,6,3,20,4,1,1,411,rookies
327,3896,3,4,37,4,1,1,411,rookies
333,2521,10,3,59,4,1,1,411,rookies
337,4099,14,4,62,4,1,1,411,rookies
344,8234,13,3,18,4,1,1,411,rookies
377,4459,13,4,37,4,1,1,411,rookies
408,5049,19,5,46,4,1,1,411,rookies
420,5929,14,5,48,4,1,1,411,rookies
425,7284,8,3,20,4,1,1,411,rookies
442,5029,14,3,14,4,1,1,411,rookies
443,10642,13,4,37,4,1,1,411,rookies
448,2541,7,5,48,4,1,1,411,rookies
467,9213,13,3,15,4,1,1,411,rookies
471,1581,18,3,17,4,1,1,411,rookies
488,3436,24,4,20,4,1,1,411,rookies
496,8737,22,5,43,4,1,1,411,rookies
501,10623,2,4,32,4,1,1,411,rookies
569,3525,19,3,17,4,1,1,411,rookies
593,6424,9,4,49,4,1,1,411,rookies
595,4992,12,5,69,4,1,1,411,rookies
597,7444,20,4,30,4,1,1,411,rookies
608,2457,23,4,45,4,1,1,411,rookies
635,8461,3,3,16,4,1,1,411,rookies
709,4301,10,3,59,4,1,1,411,rookies
719,1463,9,3,21,4,1,1,411,rookies
730,5329,24,3,11,4,1,1,411,rookies
