,id,recency,frequency,monetary,r_quartile,f_quartile,m_quartile,rfmscore,Customer Segment,Date
0,5524,58,12,1617,2,3,4,234,big_spenders,2012-04-09
1,2174,38,3,27,3,1,1,311,0,2014-08-03
2,4141,26,18,776,3,4,3,343,loyals,2013-08-21
3,6182,26,6,53,3,2,1,321,0,2014-10-02
4,5324,94,11,422,1,3,3,133,0,2014-01-19
5,7446,16,16,716,4,4,3,443,loyals,2013-09-09
6,965,34,14,590,3,3,3,333,0,2012-11-13
7,6177,32,8,169,3,2,2,322,0,2013-08-05
8,4855,19,5,46,4,1,1,411,rookies,2013-06-06
9,5899,68,1,49,2,1,1,211,0,2014-03-13
11,387,59,5,61,2,1,1,211,0,2012-11-13
12,2125,82,11,1102,1,3,4,134,big_spenders,2013-11-15
13,8180,53,11,310,2,3,2,232,0,2013-11-15
14,2569,38,4,46,3,1,1,311,0,2012-10-10
15,2114,23,19,1315,4,4,4,444,stars,2012-11-24
16,9736,51,6,96,2,2,2,222,0,2012-12-24
17,4939,20,10,317,4,2,2,422,0,2012-08-31
18,6565,91,20,1782,1,4,4,144,loyals,2013-03-28
19,2278,86,5,133,1,1,2,112,0,2012-03-11
20,9360,41,9,316,3,2,2,322,0,2012-08-08
21,5376,42,0,1730,3,1,4,314,big_spenders,2013-06-01
22,1993,63,11,972,2,3,3,233,0,2012-12-23
23,4047,0,15,544,4,4,3,443,loyals,2014-11-01
24,1409,69,12,444,2,3,3,233,0,2013-03-18
25,7892,89,5,75,1,1,2,112,0,2013-02-01
26,2404,4,9,257,4,2,2,422,0,2013-05-27
28,9422,26,6,131,3,2,2,322,0,2013-05-31
29,1966,96,16,1672,1,4,4,144,loyals,2013-11-22
30,6864,34,6,30,3,2,1,321,0,2014-05-22
31,3033,56,5,318,2,1,2,212,0,2013-11-05
32,5710,31,6,120,3,2,2,322,0,2012-10-10
33,7373,8,10,302,4,2,2,422,0,2012-10-29
34,8755,4,12,1196,4,3,4,434,big_spenders,2013-02-20
35,10738,55,5,65,2,1,1,211,0,2013-08-29
36,4339,37,17,913,3,4,3,343,loyals,2013-12-31
37,10755,76,5,81,1,1,2,112,0,2013-02-09
38,8595,99,4,67,1,1,1,111,lost,2014-11-02
39,2968,53,12,902,2,3,3,233,0,2013-01-02
40,8601,3,13,1395,4,3,4,434,big_spenders,2013-04-29
41,503,88,5,53,1,1,1,111,lost,2013-12-03
42,8430,4,3,22,4,1,1,411,rookies,2012-12-24
44,2139,19,5,31,4,1,1,411,rookies,2013-02-10
45,1371,72,11,984,2,3,3,233,0,2014-06-28
46,9909,24,6,122,4,2,2,422,0,2012-09-11
47,7286,92,4,55,1,1,1,111,lost,2013-05-24
49,6566,39,17,1319,3,4,4,344,loyals,2012-08-11
50,8614,29,14,507,3,3,3,333,0,2014-12-05
51,4114,2,19,1693,4,4,4,444,stars,2012-11-08
52,1331,54,5,72,2,1,2,212,0,2013-02-01
53,2225,54,11,1617,2,3,4,234,big_spenders,2014-07-06
54,9381,57,14,606,2,3,3,233,0,2013-12-06
55,6260,55,16,1957,2,4,4,244,loyals,2012-11-19
56,10383,30,15,1093,3,4,4,344,loyals,2013-02-04
57,7437,31,5,29,3,1,1,311,0,2014-04-28
59,8375,63,14,518,2,3,3,233,0,2014-03-03
60,6853,12,14,1438,4,3,4,434,big_spenders,2013-04-07
61,3076,18,16,612,4,4,3,443,loyals,2012-07-09
62,1012,26,18,884,3,4,3,343,loyals,2013-02-18
63,6518,8,15,606,4,4,3,443,loyals,2013-11-06
64,4137,29,11,1076,3,3,4,334,big_spenders,2013-06-12
65,8082,75,3,34,1,1,1,111,lost,2013-05-21
